coverage,fetal_fraction,state,mean,variance
1000,0.03,4,1.1111016458346397,0.0065101058385590195
1000,0.03,5,34.06606412169175,48.41193465910541
1000,0.03,6,71.10258497455636,553.7027580460533
1000,0.03,7,72.20842029713438,546.3529365474958
1000,0.04,1,1.0741313002372537,0.003412554421835538
1000,0.04,2,1.0809352741686624,0.004022946445994295
1000,0.04,3,1.1051036847006872,0.006080193027039542
1000,0.04,4,1.136262682995072,0.007935770539638062
1000,0.04,5,25.21761145483388,19.959034910407198
1000,0.04,6,51.94224142308086,185.8428887207835
1000,0.04,7,53.00226905140022,192.83491954087899
1000,0.05,1,1.0741401920761209,0.0034058811235423802
1000,0.05,2,1.0844997153025633,0.004287605383414387
1000,0.05,3,1.1204637014451149,0.006979550001267314
1000,0.05,4,1.1658971899668242,0.009233184667100046
1000,0.05,5,19.92427412326733,9.951310688013272
1000,0.05,6,40.82972309107964,88.53820698545924
1000,0.05,7,41.86293347443846,92.50272953768297
1000,0.06,1,1.0730821566302562,0.0033939842719480015
1000,0.06,2,1.0889646702235665,0.004679063814358824
1000,0.06,3,1.1391756182794615,0.00808313400442432
1000,0.06,4,1.198289778803053,0.010216701287849586
1000,0.06,5,16.42621234824081,5.573096399166344
1000,0.06,6,33.481356567420605,48.65148957111633
1000,0.06,7,34.54351116730036,52.0035912845654
1000,0.07,1,1.072310373411891,0.0032381911521662155
1000,0.07,2,1.0937549196345047,0.005035132376453136
1000,0.07,3,1.1590104927373348,0.009002756314338285
1000,0.07,4,1.2320567085434724,0.010866818733378702
1000,0.07,5,14.010961857970491,3.5877201185270255
1000,0.07,6,28.44256031061197,29.71031331325276
1000,0.07,7,29.486547722377644,31.8276267804164
1000,0.08,1,1.0728063345999943,0.003320778198440392
1000,0.08,2,1.1001058752751844,0.0054103805754556296
1000,0.08,3,1.1804460989630263,0.009639362560504516
1000,0.08,4,1.265608944099834,0.011491107345083126
1000,0.08,5,12.186633214264372,2.417568728456607
1000,0.08,6,24.71650704892182,19.371939114189722
1000,0.08,7,25.723926545780117,20.95618809896403
1000,0.09,1,1.0721082241228226,0.003229387028692308
1000,0.09,2,1.1064837102734297,0.005814062339858316
1000,0.09,3,1.2035624591406469,0.010391802489551419
1000,0.09,4,1.3024737267428423,0.01195842727551941
1000,0.09,5,10.751627668553336,1.6666769457247614
1000,0.09,6,21.75079883007462,13.60748947613908
1000,0.09,7,22.77381208743374,14.903660221930844
1000,0.1,1,1.0723598946910513,0.0032067665836947178
1000,0.1,2,1.113714573004186,0.006250188583000757
1000,0.1,3,1.2268946711739606,0.010941240690644503
1000,0.1,4,1.3363189073628434,0.012416224363697034
1000,0.1,5,9.609635649257752,1.2487238559892844
1000,0.1,6,19.43772461551248,9.766721922984242
1000,0.1,7,20.442686219599565,10.651322512686745
1000,0.11,1,1.0720316521059694,0.0032207351902748247
1000,0.11,2,1.1222120462472969,0.006654256389177734
1000,0.11,3,1.2530034473569922,0.011629115510742326
1000,0.11,4,1.376926856482542,0.01337322410130427
1000,0.11,5,8.673167131728043,0.926992359332474
1000,0.11,6,17.534907611745602,7.334419024563892
1000,0.11,7,18.549699354489974,8.143933630886636
1000,0.12,1,1.0711924771824328,0.0031482478094172236
1000,0.12,2,1.1295606250617565,0.006948868339417704
1000,0.12,3,1.2771521933133951,0.011991261101025812
1000,0.12,4,1.4146873775571427,0.014036402249981362
1000,0.12,5,7.909685351030985,0.7228944857929287
1000,0.12,6,15.97108340478475,5.53731490453684
1000,0.12,7,17.002223846001666,6.319454812132427
1000,0.13,1,1.0712207076384048,0.003133923240479467
1000,0.13,2,1.1389906481684724,0.007251554220107122
1000,0.13,3,1.3055440442215254,0.012389595411245811
1000,0.13,4,1.4547031043631211,0.014544591735295122
1000,0.13,5,7.259257465466153,0.5787858487757469
1000,0.13,6,14.638589977123448,4.359070349520229
1000,0.13,7,15.667374462513179,4.984216108902498
1000,0.14,1,1.0702461096043299,0.003108154765628653
1000,0.14,2,1.148040428613865,0.007553607816856852
1000,0.14,3,1.332539405716791,0.013137377714141911
1000,0.14,4,1.495719915423487,0.01563284802311799
1000,0.14,5,6.701307425328218,0.47151844473818216
1000,0.14,6,13.510247244934568,3.496661398097128
1000,0.14,7,14.523185269437066,4.02118280077309
1000,0.15,1,1.0703688398415112,0.0031236933196322238
1000,0.15,2,1.1567278742253415,0.007845455930013855
1000,0.15,3,1.3590467693495683,0.01371322338650548
1000,0.15,4,1.5384954030497515,0.01641689765006532
1000,0.15,5,6.21412304208315,0.3769301406172474
1000,0.15,6,12.538148232007387,2.8966335331903132
1000,0.15,7,13.555519711901653,3.3276929262965993
1000,0.16,1,1.0702291446435581,0.003082608041105363
1000,0.16,2,1.165763555131594,0.008000010164110949
1000,0.16,3,1.3863433962233387,0.013927987008624177
1000,0.16,4,1.5780530016554093,0.016966547966140024
1000,0.16,5,5.787960236428466,0.31463566432390977
