coverage,fetal_fraction,state,mean,variance
1500,0.13,2,1597.4236,2751.3336963768697
1500,0.14,1,1499.92345,2648.9511196087137
1500,0.14,2,1604.91926,2774.355484607248
1500,0.15,1,1499.99763,2624.396928352326
1500,0.15,2,1612.51277,2749.6542334694554
1500,0.16,1,1499.93653,2601.6616981760862
1500,0.16,2,1619.96887,2739.0160710837813
1500,0.17,1,1500.10947,2592.717093490129
1500,0.17,2,1627.65598,2740.9373396130013
1500,0.18,1,1500.00122,2546.5418839305025
1500,0.18,2,1634.99739,2705.0156333441473
1500,0.19,1,1500.20032,2522.634338241059
1500,0.19,2,1642.79301,2695.213897278938
1500,0.2,1,1499.88745,2515.664019137599
1500,0.2,2,1649.80833,2689.8114307254546
2000,0.01,1,1999.80113,3958.6260869838925
2000,0.01,2,2009.8097,3967.320799117956
2000,0.02,1,2000.04859,3935.132440336305
2000,0.02,2,2020.06614,3958.40320953249
2000,0.03,1,2000.01566,3870.309297857336
2000,0.03,2,2030.02412,3904.4668628944078
2000,0.04,1,2000.22839,3848.139229400213
2000,0.04,2,2040.20192,3889.180660120057
2000,0.05,1,1999.69167,3828.000282613912
2000,0.05,2,2049.70933,3878.7402083543648
2000,0.06,1,1999.43337,3739.8654390974807
2000,0.06,2,2059.4473,3806.5555482655072
2000,0.07,1,1999.80289,3722.280360451405
2000,0.07,2,2069.8215,3799.924196991882
2000,0.08,1,1999.78036,3669.385432124421
2000,0.08,2,2079.7829,3749.7513251032924
2000,0.09,1,2000.02463,3672.9619129821813
2000,0.09,2,2090.01805,3776.52106940803
2000,0.1,1,1999.84155,3656.2380259799943
2000,0.1,2,2099.89177,3762.797944246515
2000,0.11,1,1999.69862,3598.7229973256804
2000,0.11,2,2109.6989,3712.188780677768
2000,0.12,1,2000.39299,3566.8701175610954
2000,0.12,2,2120.37716,3707.385864193122
2000,0.13,1,1999.95707,3542.137648391573
2000,0.13,2,2129.94341,3698.342290994848
2000,0.14,1,2000.21359,3511.808047392414
2000,0.14,2,2140.19615,3665.5083302608327
2000,0.15,1,1999.95395,3489.811587513255
2000,0.15,2,2149.89989,3666.402692015171
2000,0.16,1,1999.78727,3470.8854048011326
2000,0.16,2,2159.71602,3656.992245282526
2000,0.17,1,2000.02698,3433.7890899705367
2000,0.17,2,2170.02354,3630.4098699670462
2000,0.18,1,2000.07213,3411.0667979311106
2000,0.18,2,2180.0298,3621.120263162718
2000,0.19,1,1999.9702,3359.043562395669
2000,0.19,2,2189.94962,3581.1337331929526
2000,0.2,1,1999.92484,3365.116762142132
2000,0.2,2,2199.88263,3599.065824941427
2500,0.01,1,2499.66637,4934.377964802421
2500,0.01,2,2512.17324,4945.393981841086
2500,0.02,1,2499.70049,4878.991233672163
2500,0.02,2,2524.68775,4903.177741714896
2500,0.03,1,2500.03159,4862.674238814285
2500,0.03,2,2537.50665,4899.466390441346
2500,0.04,1,2500.35742,4827.644927392892
2500,0.04,2,2550.39145,4885.08702776783
2500,0.05,1,2500.09213,4795.985401917089
2500,0.05,2,2562.61967,4868.291342004494
2500,0.06,1,2499.9469,4706.6288066780935
2500,0.06,2,2574.99104,4787.051670235139
2500,0.07,1,2499.88863,4678.175448477558
2500,0.07,2,2587.41353,4767.8275812149795
2500,0.08,1,2499.95724,4612.030311885547
2500,0.08,2,2599.97207,4719.7799077155
2500,0.09,1,2500.2022,4556.002595185914
2500,0.09,2,2612.70016,4678.89558493022
2500,0.1,1,2500.08293,4583.419866813813
2500,0.1,2,2625.06724,4728.946568248054
2500,0.11,1,2499.88946,4524.127342181911
2500,0.11,2,2637.36012,4668.9912634981465
2500,0.12,1,2499.95325,4462.595190389572
2500,0.12,2,2649.93726,4623.0237539297905
2500,0.13,1,2500.19767,4411.650093072076
2500,0.13,2,2662.65353,4597.878247321549
2500,0.14,1,2499.56134,4379.611933523677
2500,0.14,2,2674.5912,4568.490407464102
2500,0.15,1,2499.58132,4365.687703934845
2500,0.15,2,2687.07295,4586.601474312162
2500,0.16,1,2499.7591,4323.833425524224
2500,0.16,2,2699.7404,4567.4246020861365
2500,0.17,1,2499.76518,4281.8979185468415
2500,0.17,2,2712.29248,4533.796993419554
2500,0.18,1,2500.20096,4273.893814016578
2500,0.18,2,2725.17549,4548.284676106596
2500,0.19,1,2500.09043,4239.373306149026
2500,0.19,2,2737.61282,4521.261404261622
2500,0.2,1,2500.18934,4191.133161696049
